Date,Flow,Rain,BOD
2024-01-01,16.8,0.0,186.8
2024-01-02,19.5,0.0,175.1
2024-01-03,19.8,0.5,185.9
2024-01-04,19.7,0.0,199.9
2024-01-05,19.8,0.0,173.4
2024-01-06,17.5,0.0,175.3
2024-01-07,16.7,0.0,203.1
2024-01-08,20.8,0.0,187.7
2024-01-09,21.2,0.5,168.0
2024-01-10,22.8,0.0,182.7
2024-01-11,21.7,0.0,168.5
2024-01-12,21.9,0.0,168.3
2024-01-13,17.6,0.0,182.3
2024-01-14,17.6,1.0,148.5
2024-01-15,21.7,0.0,149.6
2024-01-16,20.9,0.0,167.6
2024-01-17,20.6,5.5,152.9
2024-01-18,19.9,0.0,181.6
2024-01-19,20.8,0.0,162.5
2024-01-20,18.3,0.0,157.0
2024-01-21,17.6,0.0,200.7
2024-01-22,21.2,0.0,172.5
2024-01-23,21.4,0.0,176.7
2024-01-24,22.6,0.0,153.3
2024-01-25,22.2,0.0,166.9
2024-01-26,21.8,0.0,177.0
2024-01-27,19.7,0.0,159.8
2024-01-28,17.9,0.0,184.1
2024-01-29,24.7,0.0,164.0
2024-01-30,30.3,0.0,164.2
2024-01-31,30.3,0.0,159.5
2024-02-01,23.6,0.0,201.7
2024-02-02,21.3,0.0,175.6
2024-02-03,18.4,0.0,162.2
2024-02-04,18.3,0.0,190.5
2024-02-05,20.9,1.5,155.5
2024-02-06,19.6,0.0,180.3
2024-02-07,20.6,0.0,146.9
2024-02-08,20.2,0.0,156.7
2024-02-09,17.2,0.0,182.0
2024-02-10,16.6,0.0,190.6
2024-02-11,16.1,0.0,182.5
2024-02-12,17.2,0.0,177.3
2024-02-13,19.7,0.0,172.5
2024-02-14,20.6,0.0,154.1
2024-02-15,19.9,5.5,157.8
2024-02-16,18.9,0.0,170.8
2024-02-17,16.1,0.0,195.8
2024-02-18,14.5,15.0,163.9
2024-02-19,19.4,8.0,138.8
2024-02-20,17.9,0.5,182.6
2024-02-21,17.5,10.0,158.0
2024-02-22,17.4,4.5,162.0
2024-02-23,17.5,0.0,188.0
2024-02-24,15.6,0.0,195.8
2024-02-25,14.4,0.0,195.2
2024-02-26,18.4,0.0,165.5
2024-02-27,18.0,0.0,173.8
2024-02-28,18.5,0.0,183.0
2024-02-29,19.0,0.0,192.2
2024-03-01,16.4,0.0,172.5
2024-03-02,16.3,0.0,177.0
2024-03-03,15.5,0.0,163.8
2024-03-04,18.0,0.0,160.5
2024-03-05,16.6,0.0,191.7
2024-03-06,17.2,0.0,199.4
2024-03-07,17.0,0.0,178.1
2024-03-08,18.0,0.0,193.5
2024-03-09,16.4,0.0,185.1
2024-03-10,14.9,0.0,171.2
2024-03-11,18.8,0.0,183.2
2024-03-12,17.7,0.0,201.7
2024-03-13,17.9,0.0,177.9
2024-03-14,18.5,0.0,201.5
2024-03-15,18.0,0.0,139.1
2024-03-16,16.6,0.0,191.8
2024-03-17,15.3,0.5,181.1
2024-03-18,18.0,0.0,173.9
2024-03-19,17.2,0.5,179.7
2024-03-20,17.3,0.0,149.1
2024-03-21,17.5,0.0,175.5
2024-03-22,17.0,0.0,184.6
2024-03-23,14.7,0.0,203.2
2024-03-24,14.2,0.0,173.7
2024-03-25,17.7,4.5,159.8
2024-03-26,17.5,12.5,152.5
2024-03-27,17.6,0.0,192.5
2024-03-28,17.5,1.5,181.5
2024-03-29,17.1,2.0,168.2
2024-03-30,15.5,0.0,188.1
2024-03-31,14.6,0.0,182.6
2024-04-01,17.8,0.0,193.1
2024-04-02,17.3,0.0,168.4
2024-04-03,16.5,3.5,169.4
2024-04-04,17.4,0.0,173.0
2024-04-05,16.6,0.0,157.6
2024-04-06,14.9,0.0,185.3
2024-04-07,14.6,0.0,185.0
2024-04-08,17.7,0.0,178.7
2024-04-09,16.9,0.0,175.8
2024-04-10,16.6,0.0,158.3
2024-04-11,18.5,0.0,171.7
2024-04-12,18.5,0.0,172.9
2024-04-13,18.5,0.0,166.0
2024-04-14,18.5,0.0,175.6
2024-04-15,18.5,17.0,158.6
2024-04-16,18.5,5.0,198.8
2024-04-17,18.5,0.0,180.6
2024-04-18,18.5,0.0,181.9
2024-04-19,18.1,0.0,177.2
2024-04-20,13.8,4.5,146.2
2024-04-21,13.1,0.0,181.9
2024-04-22,17.5,0.0,179.7
2024-04-23,18.5,1.5,212.7
2024-04-24,17.6,18.5,148.1
2024-04-25,17.1,0.0,183.6
2024-04-26,17.4,0.0,178.4
2024-04-27,16.3,0.0,162.2
2024-04-28,15.2,0.0,197.8
2024-04-29,19.8,0.0,188.2
2024-04-30,17.9,0.0,190.3
2024-05-01,16.2,0.0,166.2
2024-05-02,18.2,0.0,199.3
2024-05-03,16.9,0.0,158.3
2024-05-04,14.3,0.0,190.2
2024-05-05,12.3,40.5,155.1
2024-05-06,13.9,10.0,151.8
2024-05-07,16.1,11.5,154.2
2024-05-08,16.3,0.0,181.3
2024-05-09,16.8,0.0,171.8
2024-05-10,15.6,0.0,157.1
2024-05-11,13.6,27.5,141.7
2024-05-12,12.5,0.0,166.9
2024-05-13,17.0,0.0,186.3
2024-05-14,16.4,0.0,165.9
2024-05-15,14.5,15.5,181.2
2024-05-16,16.1,0.5,167.4
2024-05-17,16.1,0.0,175.1
2024-05-18,16.1,0.0,192.1
2024-05-19,16.1,0.0,161.5
2024-05-20,16.1,0.0,183.3
2024-05-21,16.1,0.0,199.5
2024-05-22,16.1,0.0,155.8
2024-05-23,16.1,0.0,182.7
2024-05-24,16.1,0.0,183.8
2024-05-25,16.1,0.0,191.6
2024-05-26,16.1,11.5,144.1
2024-05-27,17.0,0.0,159.4
2024-05-28,17.9,0.0,186.3
2024-05-29,18.7,0.0,182.3
2024-05-30,19.1,0.0,181.3
2024-05-31,18.0,0.0,183.6
2024-06-01,13.7,0.0,171.6
2024-06-02,12.7,0.0,186.1
2024-06-03,16.7,0.0,183.8
2024-06-04,16.2,0.0,169.1
2024-06-05,16.0,0.0,208.0
2024-06-06,13.7,0.0,188.9
2024-06-07,15.9,0.5,161.5
2024-06-08,13.0,12.0,174.2
2024-06-09,12.5,0.0,168.2
2024-06-10,16.9,0.0,191.1
2024-06-11,16.1,0.0,197.3
2024-06-12,17.3,0.0,166.6
2024-06-13,13.4,0.0,196.5
2024-06-14,13.4,0.0,188.3
2024-06-15,13.4,0.0,194.4
2024-06-16,13.4,0.0,210.5
2024-06-17,13.4,0.0,178.4
2024-06-18,13.4,0.0,170.8
2024-06-19,13.4,0.0,168.7
2024-06-20,13.4,0.0,169.8
2024-06-21,13.4,0.0,180.9
2024-06-22,13.4,50.5,111.4
2024-06-23,13.4,8.0,174.2
2024-06-24,13.4,0.0,194.5
2024-06-25,13.4,0.0,182.3
2024-06-26,13.4,0.0,203.9
2024-06-27,13.4,0.0,178.1
2024-06-28,13.4,0.0,222.9
2024-06-29,13.4,24.5,154.7
2024-06-30,13.4,13.0,149.7
2024-07-01,13.4,0.0,166.0
2024-07-02,15.3,53.5,107.5
2024-07-03,16.0,0.0,176.6
2024-07-04,16.7,3.5,184.9
2024-07-05,16.4,10.0,171.8
2024-07-06,14.4,9.0,166.7
2024-07-07,13.3,2.0,166.5
2024-07-08,17.0,27.5,115.2
2024-07-09,16.4,8.5,160.2
2024-07-10,18.5,8.5,178.1
2024-07-11,20.5,0.0,179.6
2024-07-12,20.5,0.0,157.7
2024-07-13,20.5,0.0,179.0
2024-07-14,20.5,0.0,182.2
2024-07-15,20.5,0.0,163.1
2024-07-16,20.5,15.0,156.2
2024-07-17,19.2,6.0,169.3
2024-07-18,17.6,121.0,40.0
2024-07-19,17.8,0.0,183.9
2024-07-20,14.0,13.5,169.8
2024-07-21,13.5,0.5,197.5
2024-07-22,17.3,13.0,175.3
2024-07-23,17.2,17.5,132.1
2024-07-24,17.1,2.0,162.1
2024-07-25,17.9,1.5,184.0
2024-07-26,16.9,0.0,187.0
2024-07-27,14.2,2.5,185.4
2024-07-28,13.4,0.0,239.9
2024-07-29,16.5,0.0,188.2
2024-07-30,16.2,0.0,196.9
2024-07-31,16.6,0.0,193.8
2024-08-01,16.3,0.0,189.5
2024-08-02,17.6,0.0,174.0
2024-08-03,17.7,0.0,190.0
2024-08-04,14.6,0.0,169.5
2024-08-05,18.4,0.5,173.8
2024-08-06,17.8,0.0,171.3
2024-08-07,18.1,0.0,179.5
2024-08-08,18.0,2.0,210.1
2024-08-09,17.7,0.0,150.6
2024-08-10,15.2,0.0,190.9
2024-08-11,14.5,0.0,157.0
2024-08-12,16.7,0.0,172.4
2024-08-13,16.2,0.0,196.2
2024-08-14,15.7,0.0,181.2
2024-08-15,18.3,0.0,162.0
2024-08-16,17.3,0.0,168.2
2024-08-17,15.1,0.0,190.9
2024-08-18,15.2,3.5,164.4
2024-08-19,17.1,0.0,182.4
2024-08-20,16.8,0.0,180.0
2024-08-21,17.1,53.5,89.1
2024-08-22,16.5,0.5,211.0
2024-08-23,15.3,8.0,178.1
2024-08-24,14.5,0.0,150.8
2024-08-25,13.7,0.0,184.6
2024-08-26,17.2,0.0,169.1
2024-08-27,16.8,0.0,192.1
2024-08-28,16.8,0.0,167.5
2024-08-29,8.5,0.0,184.3
2024-08-30,8.5,0.0,193.6
2024-08-31,8.5,0.0,199.0
2024-09-01,8.5,0.0,168.0
2024-09-02,8.5,1.5,178.7
2024-09-03,8.5,0.0,178.9
2024-09-04,8.5,0.0,176.2
2024-09-05,8.5,0.0,212.5
2024-09-06,8.5,1.0,190.6
2024-09-07,8.5,0.0,167.1
2024-09-08,8.5,0.0,199.8
2024-09-09,8.5,0.0,217.8
2024-09-10,8.5,0.0,201.5
2024-09-11,8.5,5.0,155.7
2024-09-12,8.5,40.0,118.7
2024-09-13,14.1,8.5,187.8
2024-09-14,14.0,0.5,170.2
2024-09-15,13.7,0.0,188.5
2024-09-16,13.3,0.0,193.8
2024-09-17,12.3,2.0,166.1
2024-09-18,13.3,0.0,181.3
2024-09-19,17.0,0.0,130.6
2024-09-20,16.0,100.5,40.0
2024-09-21,13.4,30.0,133.3
2024-09-22,13.3,0.0,163.4
2024-09-23,16.6,0.0,204.0
2024-09-24,17.3,0.0,157.5
2024-09-25,17.9,0.0,171.9
2024-09-26,17.9,0.0,180.4
2024-09-27,17.3,0.0,200.6
2024-09-28,14.0,0.0,160.1
2024-09-29,15.0,0.0,198.2
2024-09-30,16.9,0.0,179.4
2024-10-01,14.2,0.0,166.7
2024-10-02,16.0,0.0,186.9
2024-10-03,13.9,0.0,184.7
2024-10-04,17.0,0.0,170.2
2024-10-05,15.2,0.0,181.7
2024-10-06,13.8,0.0,176.0
2024-10-07,17.9,0.0,180.2
2024-10-08,17.2,0.0,189.0
2024-10-09,14.0,0.0,205.4
2024-10-10,14.0,0.0,163.0
2024-10-11,17.6,0.0,210.7
2024-10-12,0.0,0.0,163.5
2024-10-13,0.0,0.0,190.5
2024-10-14,0.0,0.0,201.6
2024-10-15,0.0,3.0,192.5
2024-10-16,0.0,0.0,183.5
2024-10-17,0.0,0.0,189.7
2024-10-18,0.0,56.5,100.7
2024-10-19,0.0,0.0,184.0
2024-10-20,0.0,0.0,205.5
2024-10-21,16.9,1.0,183.1
2024-10-22,16.1,11.0,153.0
2024-10-23,20.3,1.5,187.8
2024-10-24,17.0,0.0,183.8
2024-10-25,17.0,0.0,191.4
2024-10-26,14.6,0.0,190.6
2024-10-27,13.4,0.5,168.9
2024-10-28,17.1,0.0,170.7
2024-10-29,16.4,0.0,190.9
2024-10-30,16.2,0.0,189.0
2024-10-31,16.8,0.0,179.0
